# Npe_center count (zero bins skipped)
2.5 105688
7.5 49748
12.5 49391
17.5 47025
22.5 43568
27.5 39700
32.5 37065
37.5 34570
42.5 32767
47.5 32060
52.5 31451
57.5 30301
62.5 29473
67.5 28070
72.5 27038
77.5 25552
82.5 23846
87.5 22231
92.5 20612
97.5 18846
102.5 16965
107.5 15580
112.5 13889
117.5 12320
122.5 11311
127.5 9900
132.5 9056
137.5 8404
142.5 7777
147.5 7100
152.5 6905
157.5 6619
162.5 6486
167.5 6321
172.5 6262
177.5 6086
182.5 6182
187.5 5912
192.5 6027
197.5 6037
202.5 5956
207.5 5876
212.5 5751
217.5 5604
222.5 5762
227.5 5452
232.5 5286
237.5 5014
242.5 4917
247.5 4756
252.5 4215
257.5 3989
262.5 3744
267.5 3509
272.5 3138
277.5 2838
282.5 2561
287.5 2342
292.5 2135
297.5 1808
