# asym_center  count (nu_plus_z, N_fired >= 3, prompt-only IBD)
-0.97500 6624
-0.92500 4051
-0.87500 4480
-0.82500 4629
-0.77500 3433
-0.72500 4012
-0.67500 3694
-0.62500 2970
-0.57500 3824
-0.52500 2695
-0.47500 3844
-0.42500 3060
-0.37500 3142
-0.32500 3297
-0.27500 2839
-0.22500 2934
-0.17500 3447
-0.12500 3044
-0.07500 2945
-0.02500 2176
0.02500 4121
0.07500 2834
0.12500 3090
0.17500 2608
0.22500 3331
0.27500 3124
0.32500 3409
0.37500 2769
0.42500 3107
0.47500 2589
0.52500 3713
0.57500 2662
0.62500 3696
0.67500 3323
0.72500 3331
0.77500 3704
0.82500 4246
0.87500 4210
0.92500 3733
0.97500 1119
