# Npe_center count (N_fired >= 3)
2.5 1323
7.5 4571
12.5 4884
17.5 4604
22.5 4280
27.5 3852
32.5 3641
37.5 3378
42.5 3185
47.5 3143
52.5 3047
57.5 2947
62.5 2962
67.5 2802
72.5 2736
77.5 2603
82.5 2354
87.5 2272
92.5 2019
97.5 1925
102.5 1696
107.5 1598
112.5 1340
117.5 1332
122.5 1108
127.5 981
132.5 865
137.5 810
142.5 746
147.5 668
152.5 670
157.5 641
162.5 649
167.5 578
172.5 638
177.5 617
182.5 625
187.5 643
192.5 590
197.5 567
202.5 582
207.5 608
212.5 575
217.5 554
222.5 556
227.5 538
232.5 552
237.5 459
242.5 445
247.5 462
252.5 415
257.5 412
262.5 360
267.5 307
272.5 317
277.5 274
282.5 240
287.5 244
292.5 190
297.5 187
