# lifetime_us_center count (N_fired >= 3)
1.000 1197
3.000 3005
5.000 4052
7.000 4287
9.000 4217
11.000 4033
13.000 3874
15.000 3555
17.000 3327
19.000 3011
21.000 2834
23.000 2663
25.000 2545
27.000 2212
29.000 2115
31.000 1920
33.000 1793
35.000 1642
37.000 1577
39.000 1399
41.000 1314
43.000 1248
45.000 1091
47.000 1011
49.000 979
51.000 870
53.000 863
55.000 769
57.000 750
59.000 683
61.000 619
63.000 544
65.000 512
67.000 480
69.000 460
71.000 431
73.000 377
75.000 345
77.000 325
79.000 341
81.000 262
83.000 265
85.000 223
87.000 247
89.000 196
91.000 196
93.000 183
95.000 173
97.000 191
99.000 177
101.000 140
103.000 134
105.000 135
107.000 98
109.000 96
111.000 87
113.000 86
115.000 74
117.000 88
119.000 99
121.000 79
123.000 68
125.000 56
127.000 70
129.000 49
131.000 67
133.000 53
135.000 48
137.000 41
139.000 40
141.000 33
143.000 47
145.000 40
147.000 23
149.000 39
151.000 32
153.000 26
155.000 30
157.000 30
159.000 25
161.000 22
163.000 20
165.000 28
167.000 19
169.000 20
171.000 14
173.000 8
175.000 16
177.000 16
179.000 14
181.000 12
183.000 13
185.000 17
187.000 14
189.000 15
191.000 8
193.000 14
195.000 13
197.000 10
199.000 8
