# asym_center  count (nu_minus_z, N_fired >= 3, prompt-only IBD)
-0.97500 6003
-0.92500 3678
-0.87500 3955
-0.82500 4229
-0.77500 3241
-0.72500 3611
-0.67500 3397
-0.62500 2746
-0.57500 3784
-0.52500 2773
-0.47500 3648
-0.42500 2897
-0.37500 3048
-0.32500 3263
-0.27500 2870
-0.22500 2772
-0.17500 3352
-0.12500 3091
-0.07500 2923
-0.02500 2055
0.02500 4081
0.07500 2882
0.12500 3207
0.17500 2615
0.22500 3259
0.27500 3175
0.32500 3475
0.37500 2824
0.42500 3367
0.47500 2729
0.52500 3859
0.57500 2972
0.62500 3828
0.67500 3641
0.72500 3574
0.77500 4101
0.82500 4505
0.87500 4426
0.92500 4067
0.97500 1262
