# Npe_center count (N_fired >= 3)
2.5 2263
7.5 8162
12.5 8214
17.5 7107
22.5 5621
27.5 4262
32.5 3155
37.5 2337
42.5 1916
47.5 1631
52.5 1519
57.5 1439
62.5 1466
67.5 1362
72.5 1374
77.5 1296
82.5 1339
87.5 1294
92.5 1256
97.5 1214
102.5 1189
107.5 1077
112.5 1029
117.5 1018
122.5 938
127.5 897
132.5 797
137.5 808
142.5 680
147.5 601
152.5 583
157.5 513
162.5 465
167.5 425
172.5 387
177.5 369
182.5 360
187.5 371
192.5 291
197.5 283
202.5 287
207.5 306
212.5 282
217.5 292
222.5 274
227.5 255
232.5 290
237.5 255
242.5 267
247.5 270
252.5 278
257.5 245
262.5 261
267.5 248
272.5 241
277.5 244
282.5 236
287.5 232
292.5 188
297.5 208
