# Nfired_threshold  P(Nfired>=x)
0 1.000000
1 0.932520
2 0.909370
3 0.892580
4 0.874910
5 0.854720
6 0.833900
7 0.812960
8 0.790310
9 0.767030
10 0.744140
11 0.719430
12 0.694960
13 0.670060
14 0.645410
15 0.620260
16 0.594440
17 0.568320
18 0.541350
19 0.514520
20 0.484650
21 0.454850
22 0.423670
23 0.392410
24 0.360840
25 0.327710
26 0.294610
27 0.262020
28 0.230130
29 0.199640
30 0.169800
31 0.142560
32 0.116360
33 0.092760
34 0.070130
35 0.049520
36 0.031300
37 0.015210
38 0.004540
