# Te_center_MeV  count (N_fired >= 3)
0.05000 2289
0.15000 4645
0.25000 6530
0.35000 8364
0.45000 10847
0.55000 13674
0.65000 16508
0.75000 19235
0.85000 21124
0.95000 23399
1.05000 24911
1.15000 26631
1.25000 27894
1.35000 29100
1.45000 29914
1.55000 30572
1.65000 31130
1.75000 31537
1.85000 31344
1.95000 31252
2.05000 31027
2.15000 30484
2.25000 29758
2.35000 29068
2.45000 28266
2.55000 27523
2.65000 26141
2.75000 25067
2.85000 23813
2.95000 22948
3.05000 22036
3.15000 20860
3.25000 19868
3.35000 18575
3.45000 17715
3.55000 16516
3.65000 15520
3.75000 14570
3.85000 13731
3.95000 12784
4.05000 12000
4.15000 11129
4.25000 10517
4.35000 9549
4.45000 8960
4.55000 8434
4.65000 7588
4.75000 7027
4.85000 6291
4.95000 5683
5.05000 4979
5.15000 4575
5.25000 4040
5.35000 3531
5.45000 3132
5.55000 2704
5.65000 2300
5.75000 1925
5.85000 1527
5.95000 1226
6.05000 1040
6.15000 774
6.25000 539
6.35000 409
6.45000 312
6.55000 199
6.65000 163
6.75000 91
6.85000 53
6.95000 36
7.05000 29
7.15000 10
7.25000 9
7.35000 1
7.45000 3
7.55000 0
7.65000 1
7.75000 0
7.85000 2
7.95000 0
