# Te_center_MeV  mean_A  stderr_A  count (nu_plus_z, prompt-only)
2.18750 -0.021224 0.004661 16915
2.56250 -0.016747 0.004809 15336
2.93750 -0.024260 0.005144 13062
3.31250 -0.016508 0.005594 10737
3.68750 -0.004589 0.006293 8472
4.06250 -0.012396 0.007053 6694
4.43750 -0.003681 0.008287 4983
4.81250 -0.000551 0.009413 3728
5.18750 0.002077 0.011482 2539
5.56250 -0.009173 0.014827 1504
5.93750 0.030410 0.021714 747
6.31250 0.043372 0.032220 300
6.68750 0.047426 0.070454 72
7.06250 0.060800 0.118252 12
7.43750 0 0 0
7.81250 0 0 0
