# Te_MeV  mean_Npe  stderr_Npe  count (N_fired >= 3, mono-energetic uniform grid)
0.0 3.222222 0.209513 9
0.1 3.111111 0.104757 9
0.2 3.473684 0.187835 19
0.3 4.307692 0.359854 26
0.4 3.530478 0.037898 607
0.5 4.030724 0.018364 4394
0.6 4.921155 0.017071 10286
0.7 6.162874 0.019299 14723
0.8 7.756057 0.022706 18037
0.9 9.657992 0.026516 19213
1.0 11.805936 0.030767 19643
1.1 14.134251 0.034465 19836
1.2 16.498693 0.038449 19898
1.3 19.029151 0.041979 19931
1.4 21.461207 0.045170 19952
1.5 24.069325 0.049218 19964
1.6 26.664380 0.052557 19969
1.7 29.198979 0.055933 19972
1.8 31.787245 0.058873 19976
1.9 34.438026 0.062431 19976
2.0 37.155659 0.066205 19986
2.1 39.832282 0.069407 19980
2.2 42.484189 0.072185 19986
2.3 45.292042 0.075532 19980
2.4 47.741593 0.078647 19984
2.5 50.464452 0.081798 19987
2.6 53.144072 0.084831 19990
2.7 55.903022 0.088258 19984
2.8 58.664064 0.091733 19980
2.9 61.174466 0.095470 19981
3.0 63.874650 0.097644 19992
3.1 66.554883 0.101151 19988
3.2 69.302686 0.104000 19991
3.3 71.772730 0.106991 19985
3.4 74.776427 0.110243 19989
3.5 77.403914 0.113803 19982
3.6 79.926953 0.115589 19987
3.7 82.759658 0.119256 19984
3.8 85.479570 0.121017 19995
3.9 88.086974 0.124860 19983
4.0 90.734781 0.127071 19991
4.1 93.319794 0.132093 19991
4.2 95.995548 0.133723 19992
4.3 98.818300 0.138720 19989
4.4 101.637087 0.140450 19991
4.5 104.075084 0.143044 19991
4.6 106.669552 0.147769 19988
4.7 109.486293 0.150866 19990
4.8 112.159824 0.153280 19997
4.9 114.740331 0.155871 19987
5.0 117.431279 0.157263 19994
5.1 119.989896 0.162152 19993
5.2 122.558774 0.164472 19992
5.3 125.361349 0.170481 19989
5.4 127.793007 0.172058 19991
5.5 130.864209 0.174672 19994
5.6 132.979933 0.177588 19983
5.7 135.802391 0.182229 19989
5.8 138.319926 0.183395 19989
5.9 141.369616 0.187479 19991
6.0 143.702966 0.188038 19991
6.1 146.554239 0.192209 19995
6.2 149.049079 0.196798 19988
6.3 151.774871 0.200234 19993
6.4 154.010255 0.203723 19991
6.5 156.964879 0.208326 19988
6.6 159.482364 0.210039 19987
6.7 162.316827 0.212946 19992
6.8 164.996099 0.215327 19996
6.9 167.507578 0.219806 19993
7.0 169.994848 0.223889 19993
7.1 173.099150 0.225706 19990
7.2 175.177515 0.228426 19987
7.3 177.857943 0.229376 19992
7.4 180.663049 0.235326 19994
7.5 183.124187 0.238978 19994
7.6 186.091832 0.239991 19993
7.7 187.678471 0.243573 19992
7.8 190.968444 0.248682 19996
7.9 193.352676 0.249920 19990
8.0 196.333300 0.255151 19991
