# Npe_center count (zero bins skipped)
2.5 20799
7.5 8879
12.5 8656
17.5 7488
22.5 5903
27.5 4514
32.5 3319
37.5 2438
42.5 1987
47.5 1668
52.5 1546
57.5 1457
62.5 1487
67.5 1380
72.5 1391
77.5 1316
82.5 1353
87.5 1307
92.5 1277
97.5 1226
102.5 1204
107.5 1087
112.5 1039
117.5 1029
122.5 948
127.5 911
132.5 804
137.5 813
142.5 691
147.5 613
152.5 589
157.5 516
162.5 477
167.5 436
172.5 396
177.5 380
182.5 367
187.5 386
192.5 296
197.5 292
202.5 296
207.5 314
212.5 286
217.5 298
222.5 277
227.5 262
232.5 297
237.5 257
242.5 269
247.5 271
252.5 278
257.5 245
262.5 263
267.5 249
272.5 241
277.5 245
282.5 236
287.5 232
292.5 189
297.5 208
