# Te_center_MeV  mean_A  stderr_A  count (nu_minus_z, prompt-only)
2.18750 0.014568 0.004650 16957
2.56250 0.017185 0.004846 15109
2.93750 0.015283 0.005115 13146
3.31250 0.011994 0.005634 10669
3.68750 0.019445 0.006267 8548
4.06250 0.015509 0.006968 6865
4.43750 0.014504 0.008127 4982
4.81250 0.021703 0.009571 3661
5.18750 -0.000836 0.011663 2432
5.56250 -0.007485 0.014921 1493
5.93750 -0.052958 0.021563 703
6.31250 -0.025890 0.031627 285
6.68750 -0.025795 0.074731 62
7.06250 0.080692 0.132187 21
7.43750 0 0 0
7.81250 0 0 0
