# Nfired_threshold  P(Nfired>=x)
0 1.000000
1 0.995485
2 0.991847
3 0.987958
4 0.983280
5 0.977714
6 0.971224
7 0.963621
8 0.954898
9 0.944404
10 0.932579
11 0.919021
12 0.903979
13 0.886744
14 0.867693
15 0.846550
16 0.823407
17 0.797984
18 0.770206
19 0.739962
20 0.707951
21 0.673194
22 0.636870
23 0.598766
24 0.559250
25 0.517980
26 0.476498
27 0.434105
28 0.391336
29 0.349167
30 0.306652
31 0.265094
32 0.224359
33 0.184683
34 0.146070
35 0.109228
36 0.074865
37 0.043612
38 0.017242
