# generated_photons_center count
19.0 49
56.9 9
94.8 38
132.7 18
170.6 15
208.5 37
246.4 29
284.4 38
322.3 30
360.2 30
398.1 43
436.0 43
473.9 34
511.8 56
549.7 50
587.7 68
625.6 88
663.5 82
701.4 85
739.3 117
777.2 129
815.1 156
853.1 184
891.0 238
928.9 283
966.8 397
1004.7 477
1042.6 585
1080.5 852
1118.4 1087
1156.4 1432
1194.3 1886
1232.2 2457
1270.1 3040
1308.0 3874
1345.9 4923
1383.8 5980
1421.8 7047
1459.7 8191
1497.6 8878
1535.5 9432
1573.4 9464
1611.3 8694
1649.2 7247
1687.1 5385
1725.1 3476
1763.0 1893
1800.9 860
1838.8 340
1876.7 108
1914.6 37
1952.5 7
1990.5 1
2028.4 0
2066.3 1
2104.2 0
2142.1 0
2180.0 0
2217.9 0
2255.8 0
