# lifetime_us_center count (N_fired >= 3)
1.000 1182
3.000 1861
5.000 1628
7.000 1517
9.000 1350
11.000 1236
13.000 1200
15.000 1276
17.000 1197
19.000 1163
21.000 1179
23.000 1106
25.000 1103
27.000 1023
29.000 1027
31.000 1058
33.000 1032
35.000 957
37.000 984
39.000 935
41.000 934
43.000 929
45.000 921
47.000 868
49.000 884
51.000 866
53.000 822
55.000 868
57.000 814
59.000 749
61.000 782
63.000 761
65.000 765
67.000 778
69.000 772
71.000 701
73.000 753
75.000 731
77.000 664
79.000 691
81.000 649
83.000 672
85.000 666
87.000 662
89.000 609
91.000 613
93.000 592
95.000 562
97.000 595
99.000 555
101.000 590
103.000 527
105.000 521
107.000 511
109.000 508
111.000 530
113.000 511
115.000 466
117.000 476
119.000 475
121.000 484
123.000 464
125.000 451
127.000 484
129.000 412
131.000 421
133.000 434
135.000 419
137.000 423
139.000 392
141.000 394
143.000 382
145.000 378
147.000 383
149.000 366
151.000 348
153.000 362
155.000 314
157.000 324
159.000 334
161.000 322
163.000 296
165.000 307
167.000 297
169.000 354
171.000 307
173.000 289
175.000 290
177.000 267
179.000 287
181.000 283
183.000 261
185.000 263
187.000 244
189.000 252
191.000 265
193.000 271
195.000 256
197.000 247
199.000 248
