# dopant Z Ncaptures meanSumEgamma_MeV meanMultiplicity meanSingleGamma_MeV fracWithConvE_percent meanConvE_MeV
Cd 48 49367 9.3199 4.0000 2.3300 0.0000 0.000000
Gd 64 84509 8.4172 4.0000 2.1043 0.0000 0.000000
