# event_id  Npe_top  Npe_bottom  Npe_total  asym  N_fired_PMTs
0 0 27 27 -1 14
1 0 8 8 -1 6
2 0 25 25 -1 12
3 11 19 30 -0.266667 16
4 0 25 25 -1 2
5 1 2 3 -0.333333 2
6 2 6 8 -0.5 5
7 17 0 17 1 8
8 0 27 27 -1 10
9 1 0 1 1 1
10 18 0 18 1 7
11 4 14 18 -0.555556 10
12 8 1 9 0.777778 6
13 0 37 37 -1 9
14 0 5 5 -1 5
15 1 17 18 -0.888889 6
16 12 3 15 0.6 10
17 7 0 7 1 5
18 20 0 20 1 5
19 3 28 31 -0.806452 12
20 6 0 6 1 3
21 2 11 13 -0.692308 7
22 3 6 9 -0.333333 7
23 18 0 18 1 9
24 9 0 9 1 5
25 0 4 4 -1 4
26 14 8 22 0.272727 12
27 1 11 12 -0.833333 9
28 0 21 21 -1 10
29 17 0 17 1 10
30 0 0 0 0 0
31 0 9 9 -1 5
32 2 2 4 0 3
33 4 10 14 -0.428571 8
34 11 10 21 0.047619 14
35 15 2 17 0.764706 12
36 2 18 20 -0.8 11
37 13 4 17 0.529412 12
38 1 29 30 -0.933333 10
39 29 0 29 1 11
40 0 8 8 -1 5
41 0 28 28 -1 8
42 1 18 19 -0.894737 11
43 29 0 29 1 11
44 1 4 5 -0.6 4
45 10 0 10 1 7
46 11 3 14 0.571429 6
47 2 30 32 -0.875 11
48 5 5 10 0 7
49 9 6 15 0.2 11
50 2 11 13 -0.692308 9
51 11 1 12 0.833333 8
52 15 10 25 0.2 13
53 5 5 10 0 9
54 0 16 16 -1 10
55 1 9 10 -0.8 6
56 32 1 33 0.939394 8
57 1 10 11 -0.818182 5
58 0 15 15 -1 2
59 5 14 19 -0.473684 8
60 2 0 2 1 2
61 2 17 19 -0.789474 6
62 19 2 21 0.809524 5
63 0 27 27 -1 4
64 18 3 21 0.714286 10
65 6 7 13 -0.0769231 10
66 0 10 10 -1 5
67 2 4 6 -0.333333 5
68 39 0 39 1 10
69 10 0 10 1 5
70 0 25 25 -1 13
71 3 2 5 0.2 4
72 33 0 33 1 9
73 0 0 0 0 0
74 0 20 20 -1 9
75 1 0 1 1 1
76 0 21 21 -1 10
77 21 2 23 0.826087 10
78 2 0 2 1 1
79 0 33 33 -1 12
80 10 0 10 1 4
81 0 0 0 0 0
82 0 9 9 -1 3
83 0 15 15 -1 7
84 0 23 23 -1 5
85 4 19 23 -0.652174 10
86 0 42 42 -1 11
87 9 0 9 1 6
88 0 0 0 0 0
89 0 17 17 -1 8
90 28 0 28 1 8
91 0 16 16 -1 4
92 2 24 26 -0.846154 11
93 5 0 5 1 1
94 12 0 12 1 3
95 29 3 32 0.8125 11
96 28 0 28 1 11
97 0 9 9 -1 4
98 0 22 22 -1 10
99 5 23 28 -0.642857 7
100 4 8 12 -0.333333 6
101 19 5 24 0.583333 10
102 8 4 12 0.333333 10
103 56 0 56 1 6
104 9 3 12 0.5 6
105 11 0 11 1 8
106 2 5 7 -0.428571 5
107 0 27 27 -1 7
108 2 8 10 -0.6 8
109 7 1 8 0.75 3
110 27 0 27 1 5
111 3 5 8 -0.25 5
112 9 0 9 1 4
113 3 2 5 0.2 4
114 0 7 7 -1 2
115 32 0 32 1 14
116 11 0 11 1 3
117 24 1 25 0.92 9
118 7 12 19 -0.263158 10
119 0 15 15 -1 6
120 0 12 12 -1 6
121 0 8 8 -1 6
122 4 14 18 -0.555556 8
123 1 0 1 1 1
124 3 0 3 1 2
125 1 30 31 -0.935484 12
126 16 6 22 0.454545 12
127 0 17 17 -1 9
128 0 16 16 -1 7
129 29 0 29 1 10
130 1 15 16 -0.875 8
131 4 0 4 1 2
132 0 8 8 -1 6
133 39 0 39 1 11
134 0 18 18 -1 6
135 5 0 5 1 2
136 0 15 15 -1 6
137 0 20 20 -1 8
138 9 1 10 0.8 8
139 5 14 19 -0.473684 10
140 1 0 1 1 1
141 2 2 4 0 3
142 11 0 11 1 6
143 12 8 20 0.2 11
144 0 17 17 -1 9
145 0 12 12 -1 7
146 28 0 28 1 6
147 9 11 20 -0.1 12
148 25 5 30 0.666667 12
149 4 2 6 0.333333 5
150 6 0 6 1 3
151 0 13 13 -1 5
152 14 10 24 0.166667 14
153 0 20 20 -1 10
154 0 15 15 -1 10
155 13 0 13 1 7
156 22 0 22 1 10
157 16 2 18 0.777778 6
158 0 28 28 -1 11
159 17 16 33 0.030303 18
160 0 8 8 -1 4
161 8 0 8 1 5
162 51 0 51 1 7
163 0 10 10 -1 8
164 4 7 11 -0.272727 8
165 17 0 17 1 8
166 9 0 9 1 4
167 18 0 18 1 5
168 24 0 24 1 10
169 3 38 41 -0.853659 12
170 0 5 5 -1 4
171 0 8 8 -1 5
172 0 24 24 -1 13
173 2 7 9 -0.555556 7
174 0 19 19 -1 9
175 6 11 17 -0.294118 8
176 0 3 3 -1 2
177 0 3 3 -1 1
178 26 11 37 0.405405 13
179 3 4 7 -0.142857 5
180 1 12 13 -0.846154 5
181 14 0 14 1 8
182 0 6 6 -1 5
183 32 3 35 0.828571 13
184 1 7 8 -0.75 6
185 8 6 14 0.142857 11
186 0 0 0 0 0
187 0 8 8 -1 6
188 2 26 28 -0.857143 12
189 10 5 15 0.333333 10
190 6 6 12 0 6
191 0 14 14 -1 5
192 0 0 0 0 0
193 13 3 16 0.625 9
194 25 0 25 1 9
195 0 14 14 -1 6
196 0 4 4 -1 4
197 8 15 23 -0.304348 14
198 22 0 22 1 8
199 19 6 25 0.52 15
200 8 14 22 -0.272727 12
201 18 0 18 1 10
202 7 0 7 1 3
203 12 3 15 0.6 8
204 0 10 10 -1 4
205 6 4 10 0.2 9
206 3 6 9 -0.333333 5
207 0 3 3 -1 1
208 22 0 22 1 8
209 3 4 7 -0.142857 5
210 3 1 4 0.5 4
211 2 0 2 1 2
212 6 1 7 0.714286 6
213 1 22 23 -0.913043 12
214 15 12 27 0.111111 15
215 17 0 17 1 7
216 1 4 5 -0.6 4
217 2 4 6 -0.333333 6
218 6 2 8 0.5 4
219 16 0 16 1 2
220 0 0 0 0 0
221 17 9 26 0.307692 16
222 11 2 13 0.692308 5
223 11 5 16 0.375 8
224 0 41 41 -1 4
225 0 6 6 -1 3
226 23 0 23 1 9
227 2 14 16 -0.75 8
228 15 1 16 0.875 9
229 2 13 15 -0.733333 9
230 26 0 26 1 11
231 0 7 7 -1 4
232 19 0 19 1 9
233 2 17 19 -0.789474 10
234 9 12 21 -0.142857 11
235 26 1 27 0.925926 9
236 3 2 5 0.2 3
237 10 12 22 -0.0909091 16
238 21 3 24 0.75 13
239 26 0 26 1 12
240 16 0 16 1 8
241 10 8 18 0.111111 10
242 21 0 21 1 5
243 2 21 23 -0.826087 9
244 2 5 7 -0.428571 3
245 17 1 18 0.888889 8
246 6 3 9 0.333333 8
247 0 13 13 -1 4
248 3 0 3 1 2
249 9 2 11 0.636364 7
250 2 0 2 1 2
251 6 19 25 -0.52 10
252 13 0 13 1 8
253 3 9 12 -0.5 7
254 37 2 39 0.897436 11
255 10 0 10 1 3
256 13 0 13 1 8
257 1 6 7 -0.714286 5
258 0 17 17 -1 8
259 2 22 24 -0.833333 11
260 0 34 34 -1 9
261 3 16 19 -0.684211 13
262 0 12 12 -1 8
263 34 1 35 0.942857 9
264 0 11 11 -1 5
265 36 0 36 1 14
266 0 25 25 -1 10
267 0 10 10 -1 5
268 18 0 18 1 9
269 8 0 8 1 7
270 3 4 7 -0.142857 5
271 11 2 13 0.692308 7
272 0 18 18 -1 4
273 1 4 5 -0.6 3
