# event_id  Npe_top  Npe_bottom  Npe_total  asym  N_fired_PMTs
0 23 100 123 -0.626016 30
1 89 5 94 0.893617 22
2 69 16 85 0.623529 26
3 94 33 127 0.480315 29
4 23 101 124 -0.629032 23
5 13 62 75 -0.653333 23
6 34 76 110 -0.381818 29
7 109 14 123 0.772358 22
8 43 59 102 -0.156863 25
9 46 58 104 -0.115385 32
10 21 104 125 -0.664 27
11 49 79 128 -0.234375 33
12 53 44 97 0.0927835 27
13 78 47 125 0.248 27
14 6 128 134 -0.910448 22
15 47 20 67 0.402985 27
16 69 22 91 0.516484 25
17 15 104 119 -0.747899 28
18 140 10 150 0.866667 23
19 52 61 113 -0.079646 34
20 67 39 106 0.264151 33
21 101 5 106 0.90566 21
22 29 111 140 -0.585714 29
23 98 11 109 0.798165 27
24 131 3 134 0.955224 21
25 12 118 130 -0.815385 29
26 43 30 73 0.178082 26
27 92 65 157 0.171975 29
28 40 61 101 -0.207921 26
29 57 68 125 -0.088 28
30 5 139 144 -0.930556 20
31 65 42 107 0.214953 30
32 5 157 162 -0.938272 18
33 16 119 135 -0.762963 29
34 92 48 140 0.314286 29
35 64 42 106 0.207547 32
36 57 45 102 0.117647 31
37 25 80 105 -0.52381 31
38 69 9 78 0.769231 23
39 39 99 138 -0.434783 32
40 90 15 105 0.714286 27
41 79 46 125 0.264 32
42 121 8 129 0.875969 19
43 120 15 135 0.777778 25
44 72 43 115 0.252174 31
45 44 70 114 -0.22807 29
46 95 32 127 0.496063 29
47 122 3 125 0.952 20
48 32 65 97 -0.340206 28
49 36 50 86 -0.162791 26
50 39 84 123 -0.365854 31
51 60 47 107 0.121495 33
52 63 30 93 0.354839 26
53 103 31 134 0.537313 27
54 7 49 56 -0.75 16
55 14 113 127 -0.779528 28
56 59 59 118 0 30
57 71 35 106 0.339623 27
58 50 56 106 -0.0566038 26
59 59 22 81 0.45679 20
60 80 50 130 0.230769 36
61 154 5 159 0.937107 20
62 37 88 125 -0.408 26
63 20 89 109 -0.633028 28
64 21 91 112 -0.625 29
65 95 37 132 0.439394 24
66 22 76 98 -0.55102 27
67 18 127 145 -0.751724 24
68 60 48 108 0.111111 29
69 17 111 128 -0.734375 27
70 71 50 121 0.173554 32
71 20 82 102 -0.607843 31
72 37 87 124 -0.403226 31
73 100 13 113 0.769912 26
74 11 103 114 -0.807018 20
75 32 66 98 -0.346939 26
76 13 97 110 -0.763636 25
77 55 82 137 -0.19708 33
78 5 109 114 -0.912281 24
79 88 11 99 0.777778 23
80 95 41 136 0.397059 28
81 75 33 108 0.388889 33
82 122 17 139 0.755396 24
83 4 25 29 -0.724138 11
84 40 59 99 -0.191919 32
85 8 95 103 -0.84466 25
86 93 14 107 0.738318 31
87 72 51 123 0.170732 25
88 35 86 121 -0.421488 28
