# event_id  Enu_MeV  Te+_MeV
265 2.07985 0.27392
266 5.40694 3.59684
267 4.22829 2.39889
268 5.92226 4.09005
269 2.29689 0.4881
270 5.02532 3.21888
271 3.4695 1.65396
272 2.69665 0.890502
273 6.01598 4.15192
274 6.87635 5.04496
275 2.42252 0.613199
276 4.08432 2.27024
277 3.13242 1.32497
278 2.67698 0.868966
279 2.27779 0.470468
280 2.88079 1.06822
281 4.11687 2.2929
282 6.60834 4.79129
283 4.56656 2.73479
284 5.15656 3.32713
285 5.59309 3.76981
286 4.46248 2.64752
287 2.64734 0.841898
288 3.13424 1.31915
289 6.93414 5.08327
290 3.25371 1.43789
291 6.79127 4.95421
292 4.1723 2.3468
293 2.32659 0.519589
294 3.52809 1.71918
295 3.72275 1.90587
296 4.6121 2.80097
297 4.44744 2.64077
298 4.90725 3.09714
299 4.65462 2.82625
300 3.27864 1.46143
301 5.52405 3.69297
302 5.99857 4.187
303 4.04039 2.22625
304 6.29768 4.42849
305 3.92135 2.10821
306 2.9006 1.08801
307 5.79755 3.94877
308 4.80786 2.99523
309 2.63402 0.822098
310 3.80537 1.98311
311 3.34134 1.53003
312 3.58245 1.7715
313 2.72767 0.919556
314 6.2973 4.44195
315 4.29472 2.47729
316 4.7066 2.89724
317 2.82571 1.0179
318 1.88785 0.0811303
319 2.86305 1.05302
320 2.8621 1.05551
321 3.92898 2.10899
322 3.0386 1.22654
323 3.62215 1.80502
324 3.88439 2.07037
325 4.57284 2.7539
326 5.7644 3.95143
327 4.2233 2.39516
328 4.08708 2.27908
329 7.97976 6.1421
330 4.12826 2.30039
331 2.09267 0.286498
332 4.21574 2.38464
333 3.45605 1.65035
334 2.34507 0.536896
335 4.113 2.29016
336 3.35587 1.54928
337 2.2 0.393778
338 3.59958 1.79075
339 3.7386 1.91817
340 2.77569 0.963005
341 4.66826 2.83682
342 4.36599 2.5509
343 4.38348 2.55099
344 3.69331 1.8787
345 4.10584 2.27986
346 5.07699 3.25171
347 3.43546 1.62165
348 4.4362 2.62944
349 6.25594 4.41556
350 5.47898 3.62599
351 6.26685 4.40575
352 6.10911 4.25141
353 6.6864 4.84367
354 3.23543 1.42011
355 4.66066 2.83998
356 2.44931 0.639298
357 3.28858 1.47746
358 6.99938 5.14439
359 6.06462 4.23729
360 7.1054 5.27157
361 3.33381 1.51584
362 5.31244 3.46544
363 4.67827 2.8437
364 3.84988 2.04278
365 6.9672 5.12431
366 4.30433 2.48253
367 7.20763 5.31482
368 3.03012 1.22243
369 3.43168 1.61188
370 2.86227 1.0526
371 6.60444 4.79588
372 4.88042 3.04523
373 5.08363 3.24072
374 4.03852 2.21326
375 3.99499 2.17703
376 1.84561 0.0390317
377 7.85157 6.04287
378 3.94241 2.11906
379 4.86357 3.04198
380 2.69161 0.882489
381 3.77933 1.97035
382 3.69119 1.87241
383 4.26546 2.4444
384 3.04836 1.2388
385 2.83099 1.02138
386 3.57552 1.75776
387 3.52798 1.71089
388 2.96263 1.15071
389 4.91736 3.10848
390 7.22085 5.33972
391 6.46348 4.6065
392 4.4114 2.59022
393 3.04234 1.23092
394 3.92529 2.11541
395 4.65699 2.83791
396 2.48347 0.677602
397 5.75675 3.92529
398 5.04479 3.22405
399 4.77657 2.96965
400 5.63433 3.78061
401 5.18069 3.33425
402 2.98657 1.18032
403 2.51688 0.710943
404 4.94778 3.1281
405 4.65143 2.83441
406 1.86646 0.0597559
407 5.13079 3.29861
408 3.83025 2.02333
409 2.65521 0.845083
410 3.61402 1.79332
411 3.18528 1.37514
412 4.63371 2.82793
413 5.2287 3.41613
414 4.80324 2.96927
415 4.23058 2.40434
416 3.34356 1.5323
417 4.57054 2.73907
418 4.68036 2.87095
419 4.20129 2.38227
420 3.79914 1.98465
421 3.63048 1.81602
422 3.58101 1.76684
423 6.84635 4.98308
424 3.32007 1.50667
425 3.94733 2.12964
426 3.75168 1.94331
427 2.7823 0.969048
428 3.3517 1.54059
429 3.50305 1.694
430 6.40647 4.57593
431 7.24474 5.41795
432 3.63156 1.82032
433 4.68771 2.86751
434 5.80539 3.96191
435 3.94062 2.11399
436 2.98063 1.17098
437 4.84547 3.01707
438 4.21278 2.40379
439 2.57745 0.769102
440 4.56035 2.73086
441 4.801 2.98913
442 6.35545 4.51216
443 5.03486 3.22102
444 3.19978 1.38432
445 6.65888 4.8206
446 3.39562 1.58335
447 5.88501 4.06604
448 6.13425 4.2748
449 4.6482 2.83516
450 4.23047 2.41276
451 5.3993 3.58699
452 6.14297 4.30841
453 4.87871 3.03965
454 4.0719 2.24291
455 3.32987 1.52096
456 4.53623 2.71802
457 4.04237 2.22137
458 3.2842 1.47682
459 2.99883 1.19048
460 3.2072 1.40072
461 5.38627 3.552
462 3.72654 1.91894
463 5.96564 4.14353
464 6.74771 4.91948
465 4.04549 2.2323
466 6.31342 4.46729
467 4.29276 2.47423
468 2.86199 1.05257
469 4.83709 3.00774
470 2.97601 1.1663
471 4.13665 2.31127
472 5.42235 3.57726
473 2.40671 0.596719
