# event_id  Npe_top  Npe_bottom  Npe_total  asym  N_fired_PMTs
0 7 2 9 0.555556 6
1 0 2 2 -1 2
2 0 10 10 -1 6
3 4 0 4 1 4
4 0 13 13 -1 6
5 0 8 8 -1 7
6 0 8 8 -1 5
7 16 1 17 0.882353 6
8 4 6 10 -0.2 6
9 0 5 5 -1 4
10 3 9 12 -0.5 8
11 4 3 7 0.142857 7
12 12 0 12 1 5
13 0 14 14 -1 8
14 5 3 8 0.25 7
15 1 9 10 -0.8 7
16 1 12 13 -0.846154 7
17 1 2 3 -0.333333 2
18 3 6 9 -0.333333 7
19 1 9 10 -0.8 8
20 0 14 14 -1 1
21 4 4 8 0 5
22 5 3 8 0.25 6
23 0 10 10 -1 6
24 7 3 10 0.4 8
25 8 4 12 0.333333 7
26 12 2 14 0.714286 9
27 15 1 16 0.875 7
28 0 5 5 -1 5
29 0 5 5 -1 4
30 0 7 7 -1 4
31 10 0 10 1 4
32 3 7 10 -0.4 7
33 2 9 11 -0.636364 8
34 2 2 4 0 3
35 9 1 10 0.8 6
36 12 1 13 0.846154 8
37 0 12 12 -1 8
38 1 2 3 -0.333333 3
39 3 0 3 1 2
40 11 1 12 0.833333 9
41 12 1 13 0.846154 7
42 12 1 13 0.846154 6
43 0 5 5 -1 4
44 3 3 6 0 6
45 3 1 4 0.5 3
46 14 0 14 1 9
47 10 2 12 0.666667 5
48 10 4 14 0.428571 6
49 13 1 14 0.857143 7
50 12 2 14 0.714286 8
51 6 6 12 0 10
52 5 4 9 0.111111 5
53 3 3 6 0 5
54 7 0 7 1 5
55 3 6 9 -0.333333 6
56 0 16 16 -1 9
57 13 0 13 1 9
58 7 1 8 0.75 5
59 6 6 12 0 7
60 13 0 13 1 7
61 1 10 11 -0.818182 9
62 1 13 14 -0.857143 7
63 3 8 11 -0.454545 8
64 0 9 9 -1 5
65 4 13 17 -0.529412 9
66 3 5 8 -0.25 6
67 6 4 10 0.2 7
68 12 0 12 1 7
69 0 12 12 -1 5
70 7 4 11 0.272727 8
71 8 1 9 0.777778 7
72 0 9 9 -1 3
73 5 1 6 0.666667 6
74 3 4 7 -0.142857 4
75 8 3 11 0.454545 8
76 3 11 14 -0.571429 7
77 5 1 6 0.666667 5
78 6 4 10 0.2 8
79 9 0 9 1 5
80 4 7 11 -0.272727 8
81 5 10 15 -0.333333 12
82 0 13 13 -1 5
83 6 3 9 0.333333 7
84 6 5 11 0.0909091 9
85 1 9 10 -0.8 8
86 2 13 15 -0.733333 10
87 5 2 7 0.428571 6
88 0 4 4 -1 4
89 11 0 11 1 8
90 0 8 8 -1 5
91 6 0 6 1 4
92 7 0 7 1 4
93 0 2 2 -1 1
94 2 7 9 -0.555556 7
95 7 3 10 0.4 9
96 0 8 8 -1 6
97 4 2 6 0.333333 5
98 0 4 4 -1 4
99 0 14 14 -1 10
100 0 7 7 -1 4
101 4 2 6 0.333333 5
102 9 2 11 0.636364 8
103 1 16 17 -0.882353 8
104 0 9 9 -1 7
105 5 3 8 0.25 8
106 13 0 13 1 6
107 1 3 4 -0.5 4
108 6 1 7 0.714286 5
109 9 15 24 -0.25 12
110 0 8 8 -1 5
111 2 6 8 -0.5 8
112 2 9 11 -0.636364 10
113 0 9 9 -1 5
114 12 1 13 0.846154 7
115 9 7 16 0.125 11
116 2 9 11 -0.636364 8
117 0 7 7 -1 4
118 16 1 17 0.882353 9
119 1 7 8 -0.75 5
120 3 8 11 -0.454545 7
121 1 1 2 0 2
122 13 0 13 1 7
123 2 1 3 0.333333 3
124 0 8 8 -1 5
125 5 6 11 -0.0909091 8
126 0 9 9 -1 6
127 0 9 9 -1 6
128 12 1 13 0.846154 10
129 4 5 9 -0.111111 5
130 14 0 14 1 6
131 3 10 13 -0.538462 8
132 3 2 5 0.2 5
133 1 7 8 -0.75 7
134 7 2 9 0.555556 5
135 12 0 12 1 5
136 6 2 8 0.5 6
137 9 4 13 0.384615 10
138 9 1 10 0.8 8
139 3 2 5 0.2 4
140 4 8 12 -0.333333 7
141 2 7 9 -0.555556 7
142 1 11 12 -0.833333 8
143 3 4 7 -0.142857 5
144 6 5 11 0.0909091 8
145 0 20 20 -1 8
146 0 11 11 -1 6
147 14 3 17 0.647059 10
148 3 12 15 -0.6 9
149 4 4 8 0 7
150 2 4 6 -0.333333 5
151 11 0 11 1 5
152 12 2 14 0.714286 6
153 1 5 6 -0.666667 6
154 4 4 8 0 7
155 12 0 12 1 9
156 10 0 10 1 7
157 9 1 10 0.8 6
158 1 7 8 -0.75 6
159 12 0 12 1 5
160 16 5 21 0.52381 11
161 5 4 9 0.111111 8
162 0 5 5 -1 4
163 0 13 13 -1 10
164 8 2 10 0.6 6
165 10 1 11 0.818182 8
166 0 13 13 -1 5
167 14 0 14 1 7
168 3 7 10 -0.4 7
169 4 7 11 -0.272727 7
170 3 6 9 -0.333333 6
171 5 10 15 -0.333333 10
172 1 12 13 -0.846154 6
173 2 0 2 1 2
174 0 9 9 -1 5
175 11 3 14 0.571429 8
176 15 2 17 0.764706 8
177 3 6 9 -0.333333 7
178 11 0 11 1 6
179 4 5 9 -0.111111 8
180 16 0 16 1 7
181 11 1 12 0.833333 7
182 3 10 13 -0.538462 11
183 1 10 11 -0.818182 6
184 6 5 11 0.0909091 9
185 0 8 8 -1 4
186 7 2 9 0.555556 8
187 6 5 11 0.0909091 8
188 4 3 7 0.142857 7
189 3 8 11 -0.454545 7
190 2 4 6 -0.333333 6
191 2 2 4 0 4
192 0 8 8 -1 4
193 4 1 5 0.6 5
194 9 0 9 1 5
195 5 0 5 1 3
196 2 13 15 -0.733333 9
197 5 5 10 0 6
198 1 10 11 -0.818182 7
199 7 0 7 1 5
200 7 2 9 0.555556 6
201 6 4 10 0.2 7
202 6 3 9 0.333333 8
203 2 8 10 -0.6 7
204 5 6 11 -0.0909091 6
205 3 3 6 0 6
206 10 0 10 1 5
207 7 1 8 0.75 6
208 5 2 7 0.428571 5
209 11 3 14 0.571429 6
210 7 1 8 0.75 6
211 21 1 22 0.909091 6
212 8 9 17 -0.0588235 10
213 7 1 8 0.75 6
214 2 5 7 -0.428571 5
215 2 9 11 -0.636364 6
216 1 8 9 -0.777778 5
217 1 6 7 -0.714286 5
218 6 5 11 0.0909091 8
219 9 3 12 0.5 8
220 12 1 13 0.846154 6
221 6 0 6 1 5
222 6 3 9 0.333333 7
223 6 1 7 0.714286 7
224 0 6 6 -1 5
225 2 3 5 -0.2 4
226 4 1 5 0.6 5
227 8 0 8 1 7
228 6 0 6 1 3
229 2 6 8 -0.5 4
230 0 12 12 -1 8
231 2 2 4 0 3
232 3 1 4 0.5 3
233 1 4 5 -0.6 4
234 0 11 11 -1 8
235 8 2 10 0.6 6
236 5 3 8 0.25 8
237 0 7 7 -1 6
238 10 0 10 1 7
239 2 5 7 -0.428571 6
240 8 5 13 0.230769 8
241 4 5 9 -0.111111 6
242 4 7 11 -0.272727 10
243 5 1 6 0.666667 4
244 5 4 9 0.111111 8
245 11 1 12 0.833333 8
246 7 0 7 1 6
247 1 12 13 -0.846154 9
248 4 4 8 0 5
249 1 10 11 -0.818182 7
250 0 10 10 -1 4
251 10 1 11 0.818182 7
252 4 0 4 1 2
253 0 15 15 -1 6
254 1 11 12 -0.833333 7
255 3 3 6 0 6
256 8 2 10 0.6 5
257 12 1 13 0.846154 8
258 1 13 14 -0.857143 6
259 10 4 14 0.428571 12
260 11 3 14 0.571429 7
261 9 6 15 0.2 10
262 5 5 10 0 7
263 4 4 8 0 8
264 5 0 5 1 4
265 0 10 10 -1 7
266 11 0 11 1 8
267 1 13 14 -0.857143 9
268 0 11 11 -1 7
269 1 8 9 -0.777778 8
270 2 4 6 -0.333333 6
271 2 10 12 -0.666667 8
272 10 1 11 0.818182 8
273 10 2 12 0.666667 5
274 0 3 3 -1 3
275 1 8 9 -0.777778 6
276 0 14 14 -1 11
277 9 4 13 0.384615 11
278 6 0 6 1 6
279 0 9 9 -1 4
280 3 1 4 0.5 4
281 8 0 8 1 4
282 5 7 12 -0.166667 9
283 3 7 10 -0.4 6
284 14 3 17 0.647059 9
285 0 6 6 -1 6
286 0 6 6 -1 4
287 2 0 2 1 2
288 13 1 14 0.857143 9
289 3 1 4 0.5 3
290 10 0 10 1 8
291 4 0 4 1 3
292 8 0 8 1 7
293 1 13 14 -0.857143 7
294 7 5 12 0.166667 11
295 4 2 6 0.333333 3
296 0 10 10 -1 5
297 9 1 10 0.8 9
298 5 7 12 -0.166667 8
299 0 4 4 -1 3
300 3 1 4 0.5 4
301 0 11 11 -1 9
302 6 3 9 0.333333 7
303 2 5 7 -0.428571 4
304 0 4 4 -1 3
305 0 11 11 -1 8
306 4 2 6 0.333333 4
307 3 0 3 1 3
308 1 3 4 -0.5 2
309 1 13 14 -0.857143 7
310 0 0 0 0 0
311 1 7 8 -0.75 6
312 2 14 16 -0.75 11
313 5 1 6 0.666667 5
314 1 8 9 -0.777778 8
315 9 1 10 0.8 8
316 5 7 12 -0.166667 8
317 5 3 8 0.25 7
318 5 4 9 0.111111 7
319 3 5 8 -0.25 8
320 0 7 7 -1 5
321 4 1 5 0.6 4
322 0 14 14 -1 5
323 6 5 11 0.0909091 8
324 5 0 5 1 3
325 6 4 10 0.2 7
326 1 4 5 -0.6 5
327 0 6 6 -1 5
328 3 2 5 0.2 5
329 1 11 12 -0.833333 8
330 5 3 8 0.25 6
331 5 2 7 0.428571 6
332 9 1 10 0.8 8
333 1 9 10 -0.8 7
334 0 8 8 -1 6
335 2 1 3 0.333333 3
336 10 2 12 0.666667 11
337 0 5 5 -1 4
338 0 14 14 -1 5
339 9 7 16 0.125 8
340 2 6 8 -0.5 6
341 5 1 6 0.666667 5
342 8 2 10 0.6 8
343 1 5 6 -0.666667 5
344 0 5 5 -1 2
345 8 2 10 0.6 8
346 0 3 3 -1 2
347 3 7 10 -0.4 7
348 5 10 15 -0.333333 13
349 3 4 7 -0.142857 5
350 6 2 8 0.5 6
351 6 3 9 0.333333 7
352 5 0 5 1 5
353 9 0 9 1 7
354 5 6 11 -0.0909091 10
355 7 2 9 0.555556 8
356 5 0 5 1 4
357 0 12 12 -1 9
358 1 18 19 -0.894737 10
359 7 0 7 1 7
360 7 0 7 1 5
361 9 0 9 1 4
362 0 15 15 -1 7
363 4 4 8 0 6
364 0 9 9 -1 5
365 3 3 6 0 4
366 8 0 8 1 6
367 6 5 11 0.0909091 9
368 4 3 7 0.142857 6
369 1 11 12 -0.833333 6
370 3 8 11 -0.454545 9
371 7 0 7 1 4
372 4 2 6 0.333333 4
373 2 5 7 -0.428571 6
374 8 1 9 0.777778 6
375 3 3 6 0 6
376 0 5 5 -1 4
377 1 2 3 -0.333333 3
378 0 11 11 -1 9
379 3 4 7 -0.142857 6
380 2 6 8 -0.5 6
381 7 5 12 0.166667 8
382 5 9 14 -0.285714 9
383 6 2 8 0.5 6
384 2 3 5 -0.2 5
385 5 5 10 0 8
386 0 14 14 -1 5
387 4 8 12 -0.333333 7
388 10 2 12 0.666667 6
389 5 8 13 -0.230769 8
390 2 15 17 -0.764706 10
391 12 4 16 0.5 9
392 15 1 16 0.875 10
393 0 8 8 -1 2
394 1 11 12 -0.833333 10
395 2 3 5 -0.2 4
396 2 8 10 -0.6 5
397 3 6 9 -0.333333 6
398 13 2 15 0.733333 9
399 0 11 11 -1 5
400 6 4 10 0.2 9
401 0 12 12 -1 8
402 8 3 11 0.454545 8
403 1 8 9 -0.777778 4
404 0 8 8 -1 7
