# event_id  Enu_MeV  Te+_MeV
265 3.49892 1.69457
266 3.9077 2.10335
267 3.63797 1.83363
268 3.54492 1.74058
269 4.76164 2.95729
270 3.84102 2.03668
271 4.31131 2.50697
272 5.37653 3.57219
273 2.19455 0.3902
274 3.86193 2.05758
275 3.21214 1.40779
276 2.40757 0.603221
277 5.37712 3.57278
278 2.79775 0.993406
279 5.09925 3.2949
280 7.07623 5.27189
281 4.18 2.37566
282 6.86304 5.0587
283 4.13659 2.33225
284 4.78191 2.97756
285 3.43982 1.63548
286 4.10384 2.29949
287 4.57957 2.77523
288 3.95331 2.14896
289 4.1985 2.39415
290 5.20056 3.39621
291 3.67848 1.87413
292 2.47495 0.670601
293 2.29092 0.486569
294 3.50343 1.69908
295 6.59222 4.78788
296 4.16181 2.35746
297 2.88744 1.08309
298 3.97983 2.17549
299 3.68965 1.8853
300 4.66962 2.86528
301 2.86727 1.06292
302 5.62205 3.8177
303 4.70645 2.90211
304 5.0942 3.28985
305 3.63111 1.82676
306 4.07619 2.27184
307 4.92507 3.12072
308 5.27449 3.47014
309 3.5584 1.75406
310 4.61817 2.81382
311 3.1722 1.36786
312 4.41883 2.61448
313 5.4161 3.61175
314 3.42417 1.61982
315 3.55986 1.75552
316 4.06379 2.25944
317 4.45998 2.65563
318 2.58084 0.776493
319 4.87934 3.075
320 3.83208 2.02774
321 4.97904 3.17469
322 4.25066 2.44632
323 2.75821 0.953866
324 3.74156 1.93721
325 3.77798 1.97363
326 3.17438 1.37003
327 2.38131 0.576961
328 4.28164 2.47729
329 3.28816 1.48381
330 4.51291 2.70856
331 3.49286 1.68852
332 2.85997 1.05563
333 3.19669 1.39234
334 5.26412 3.45977
335 4.63335 2.829
336 5.01883 3.21449
337 3.39325 1.5889
338 2.74601 0.941659
339 3.70165 1.8973
340 2.72964 0.925293
341 2.88461 1.08026
342 5.48271 3.67837
343 4.4224 2.61805
344 3.94975 2.1454
345 4.60568 2.80133
346 3.0249 1.22055
347 6.57368 4.76933
348 4.60123 2.79688
349 4.44438 2.64003
350 3.82613 2.02178
351 5.06348 3.25913
352 2.12477 0.320421
353 3.4138 1.60945
354 2.36597 0.561621
355 3.36541 1.56107
356 3.88985 2.08551
357 4.33626 2.53191
358 6.28871 4.48437
359 3.99916 2.19481
360 2.86105 1.05671
361 5.3141 3.50975
362 6.93663 5.13228
363 2.17991 0.375568
364 3.39668 1.59233
365 3.54958 1.74523
366 7.23956 5.43521
367 6.72404 4.91969
368 4.93786 3.13351
369 2.93228 1.12793
370 2.66552 0.861178
371 3.01468 1.21034
372 3.23819 1.43384
373 4.22977 2.42542
374 7.50009 5.69575
375 4.47597 2.67163
376 3.42465 1.62031
377 6.12607 4.32172
378 2.53917 0.734827
379 2.42534 0.620991
380 5.74808 3.94373
381 4.28337 2.47902
382 4.10725 2.30291
383 2.95446 1.15012
384 3.6238 1.81945
385 3.0766 1.27225
386 3.54402 1.73968
387 6.02674 4.22239
388 3.08895 1.28461
389 3.96112 2.15678
390 1.84495 0.0406039
391 4.35241 2.54807
392 2.72906 0.924718
393 5.23459 3.43024
394 4.28904 2.4847
395 3.20047 1.39612
396 2.86209 1.05775
397 3.34068 1.53634
398 4.72636 2.92201
399 3.29756 1.49322
400 3.66711 1.86276
401 4.06082 2.25648
402 3.72405 1.91971
403 2.18388 0.379538
404 2.99298 1.18863
405 3.25458 1.45023
406 6.96763 5.16328
407 6.94396 5.13962
408 3.50203 1.69769
409 4.46044 2.65609
410 4.7815 2.97716
411 6.10087 4.29653
412 3.45722 1.65287
413 3.49747 1.69312
414 3.19087 1.38653
415 4.17117 2.36683
416 3.40037 1.59603
417 5.0572 3.25286
418 6.20237 4.39802
419 4.51587 2.71153
420 4.40941 2.60506
421 3.30911 1.50477
422 4.44351 2.63917
423 4.1239 2.31956
424 3.36714 1.5628
425 2.92109 1.11674
426 3.26778 1.46344
427 4.22866 2.42431
428 4.0128 2.20845
429 3.71919 1.91484
430 3.91558 2.11123
431 4.66608 2.86173
432 2.64654 0.842195
433 7.57531 5.77096
434 4.26595 2.4616
435 3.85551 2.05116
436 4.23705 2.4327
437 2.8343 1.02995
438 4.82308 3.01874
439 2.65663 0.852284
440 5.91837 4.11403
441 4.04911 2.24477
442 4.1292 2.32486
443 5.64475 3.84041
444 2.63976 0.835416
445 4.69304 2.88869
446 4.07112 2.26677
447 3.36633 1.56199
448 4.74253 2.93819
449 6.84412 5.03977
450 4.12015 2.3158
451 5.22331 3.41897
452 4.10048 2.29614
453 7.01755 5.2132
454 6.82452 5.02018
455 5.00102 3.19667
456 3.61262 1.80827
457 5.29555 3.4912
458 6.36613 4.56178
459 2.6654 0.861053
460 5.2781 3.47376
461 6.07776 4.27341
462 2.99517 1.19083
463 2.95932 1.15497
464 2.28761 0.48326
465 3.67816 1.87381
466 2.55577 0.751421
467 4.43519 2.63085
468 2.37454 0.570193
469 2.60871 0.804366
470 5.15488 3.35054
471 4.2398 2.43545
472 4.94139 3.13705
473 2.7907 0.986351
474 4.93311 3.12876
475 3.78019 1.97584
476 4.57181 2.76746
477 2.65609 0.851744
478 4.65699 2.85264
479 7.27005 5.46571
480 2.21498 0.410632
481 2.46803 0.663685
482 4.46518 2.66083
483 3.97201 2.16766
484 4.7826 2.97825
485 2.78242 0.978072
486 5.75472 3.95037
487 2.87532 1.07098
488 4.45449 2.65015
489 2.8617 1.05736
490 4.44223 2.63789
491 2.10627 0.301928
492 4.06097 2.25662
493 3.56679 1.76245
494 5.4658 3.66146
495 5.8137 4.00935
496 5.1006 3.29626
497 2.75723 0.952885
498 2.51852 0.714176
499 6.45776 4.65341
500 3.60921 1.80486
501 7.74685 5.9425
502 4.80631 3.00196
503 2.39771 0.593362
504 3.1746 1.37025
505 2.24239 0.438043
506 3.56796 1.76362
507 2.81222 1.00787
508 4.38269 2.57834
509 3.06946 1.26511
510 5.15116 3.34682
511 3.81739 2.01304
512 5.16244 3.35809
513 3.26721 1.46286
514 3.00374 1.1994
515 4.4866 2.68226
516 4.05156 2.24722
517 3.32069 1.51634
518 2.70592 0.901577
519 2.04814 0.243795
520 3.22651 1.42217
521 4.9778 3.17345
522 5.2038 3.39946
523 3.08584 1.2815
524 3.49245 1.68811
525 3.71458 1.91024
526 2.73593 0.931583
527 2.15172 0.347373
528 3.58455 1.7802
529 5.34767 3.54332
530 2.74828 0.943936
531 6.49141 4.68706
532 4.52721 2.72286
533 2.6349 0.830557
534 4.48909 2.68474
535 2.79534 0.990999
536 2.63615 0.831803
537 4.27377 2.46943
538 4.17456 2.37021
539 3.46063 1.65629
540 4.18503 2.38069
541 5.1345 3.33016
542 3.87008 2.06573
543 3.42876 1.62441
544 5.22113 3.41678
545 5.50277 3.69842
546 7.47544 5.67109
547 3.9578 2.15346
548 2.32363 0.51928
549 2.34306 0.538711
550 2.89627 1.09192
551 6.23788 4.43353
552 3.53673 1.73238
553 3.97653 2.17219
554 3.0801 1.27575
555 4.19803 2.39368
556 4.08564 2.28129
557 3.07897 1.27463
558 7.35066 5.54631
559 4.95973 3.15538
560 4.13245 2.3281
561 3.86287 2.05852
562 4.68925 2.88491
563 6.3072 4.50285
564 4.15574 2.3514
565 5.60149 3.79715
566 7.20152 5.39718
567 3.39585 1.5915
568 3.72438 1.92003
569 6.00734 4.20299
570 4.57338 2.76903
571 2.14576 0.341412
572 2.85787 1.05352
573 2.78679 0.982449
574 4.49542 2.69107
575 2.90816 1.10382
576 6.23902 4.43467
577 2.94427 1.13993
578 5.49221 3.68787
579 5.39667 3.59232
580 2.6598 0.855459
581 2.74736 0.943015
582 2.94412 1.13978
583 4.16366 2.35931
584 2.68884 0.884497
585 2.74756 0.943211
586 4.21526 2.41092
587 4.52416 2.71982
588 4.85182 3.04747
589 5.05744 3.25309
590 2.80075 0.996402
591 3.82756 2.02322
592 4.30468 2.50034
593 3.8904 2.08606
594 7.04441 5.24006
595 4.81985 3.0155
596 3.35186 1.54751
597 2.59007 0.785728
598 3.61463 1.81029
599 5.77859 3.97424
600 2.3695 0.56515
601 6.34538 4.54103
602 4.57361 2.76927
603 4.5869 2.78255
604 5.10748 3.30313
605 3.01096 1.20661
606 2.67811 0.873764
607 4.30182 2.49748
608 4.1082 2.30386
609 3.8985 2.09416
610 3.24401 1.43967
611 4.3416 2.53726
612 4.30196 2.49762
613 5.14516 3.34081
614 2.77597 0.971624
615 3.39832 1.59398
616 4.75317 2.94882
617 3.24033 1.43599
618 3.53264 1.72829
619 5.48363 3.67928
620 3.42754 1.62319
621 6.80673 5.00239
622 3.2221 1.41775
623 6.17957 4.37522
624 4.38824 2.58389
625 3.47559 1.67124
626 2.12069 0.316345
627 4.78055 2.9762
628 5.30478 3.50043
629 5.23416 3.42981
630 4.27633 2.47199
631 3.54673 1.74238
632 3.85923 2.05489
633 2.98605 1.18171
634 2.82886 1.02451
635 4.46636 2.66201
636 5.16416 3.35982
637 5.41033 3.60598
638 4.11008 2.30573
639 4.35524 2.5509
640 3.75236 1.94802
641 4.31374 2.50939
642 4.6329 2.82855
643 3.60598 1.80164
644 3.85098 2.04663
645 3.89273 2.08838
646 6.00468 4.20034
647 5.98987 4.18552
648 5.34345 3.5391
649 2.92842 1.12408
650 6.61001 4.80566
651 8.73381 6.92947
652 2.57469 0.770349
653 4.03242 2.22807
654 3.13608 1.33174
655 4.56415 2.7598
656 6.22906 4.42471
657 4.11302 2.30868
658 3.66052 1.85618
659 2.36275 0.5584
660 4.17636 2.37201
661 4.3983 2.59396
662 5.89465 4.0903
663 4.44777 2.64342
664 5.73497 3.93063
665 6.20098 4.39664
666 4.59152 2.78717
667 2.0808 0.27645
668 3.40165 1.59731
669 4.56434 2.76
670 3.16787 1.36352
671 5.48516 3.68081
672 5.45905 3.65471
673 2.72988 0.925535
674 3.83025 2.0259
675 7.28536 5.48102
676 4.41909 2.61475
677 2.25059 0.446246
678 4.6581 2.85375
679 3.65333 1.84899
680 4.94599 3.14164
681 2.46748 0.663136
682 3.92932 2.12497
683 4.35839 2.55404
684 5.98621 4.18186
685 4.40183 2.59748
686 3.42645 1.62211
687 3.27142 1.46708
688 3.94293 2.13858
689 3.10545 1.3011
690 4.8909 3.08655
691 4.10355 2.29921
692 3.24004 1.43569
693 4.24629 2.44195
694 2.71496 0.910616
695 4.33615 2.53181
696 3.54603 1.74169
697 4.33877 2.53442
698 3.69239 1.88804
699 3.27144 1.46709
700 3.21262 1.40827
701 3.5615 1.75715
702 3.6201 1.81576
703 5.84224 4.03789
704 6.70007 4.89572
705 5.54469 3.74034
706 4.33247 2.52813
707 5.62915 3.8248
708 3.3946 1.59025
709 2.88685 1.0825
710 4.21521 2.41087
711 4.77235 2.968
712 2.06991 0.265563
713 6.79343 4.98908
714 3.25231 1.44797
715 5.97482 4.17047
716 3.54592 1.74158
717 4.27796 2.47361
718 2.87071 1.06636
719 3.39454 1.59019
720 7.52142 5.71707
721 4.86619 3.06185
722 2.86286 1.05851
723 4.0423 2.23795
724 4.14752 2.34317
725 3.46319 1.65884
726 6.6025 4.79816
727 3.82526 2.02091
728 3.47556 1.67122
729 3.42438 1.62003
730 4.77896 2.97462
731 3.79306 1.98872
732 3.30908 1.50473
733 8.47303 6.66869
734 6.00385 4.19951
735 4.70847 2.90412
736 5.14458 3.34023
737 4.0294 2.22505
738 2.23679 0.432446
739 3.23087 1.42653
740 4.28788 2.48354
741 3.88423 2.07988
742 4.47522 2.67088
743 3.59106 1.78671
744 4.72864 2.92429
745 2.64401 0.839664
746 6.52881 4.72446
747 2.27452 0.470178
748 4.38022 2.57587
749 2.58753 0.783179
750 4.62417 2.81983
751 4.66195 2.8576
752 6.44835 4.644
753 2.66941 0.865065
754 4.63115 2.82681
755 3.34845 1.54411
756 3.90649 2.10214
757 5.90239 4.09804
758 5.16142 3.35707
759 4.11289 2.30854
760 6.4062 4.60185
761 2.3322 0.527851
762 4.60477 2.80042
763 4.05402 2.24967
764 3.08253 1.27818
765 3.96175 2.1574
766 2.35712 0.552774
767 4.89261 3.08827
768 6.72342 4.91907
769 3.64158 1.83723
770 4.74199 2.93764
771 7.08048 5.27613
772 5.81693 4.01258
773 4.02252 2.21817
