# event_id  Enu_MeV  Te+_MeV
265 3.02983 1.21629
266 3.61934 1.80618
267 3.8208 2.01026
268 2.78886 0.977167
269 5.27629 3.44052
270 5.26141 3.41858
271 6.97613 5.1252
272 3.37226 1.56097
273 3.67687 1.85864
274 4.85252 3.02636
275 7.05194 5.24064
276 5.20163 3.38617
277 4.90697 3.0681
278 3.75615 1.94447
279 3.85612 2.04703
280 5.97764 4.13612
281 5.16871 3.35335
282 4.83834 3.00216
283 3.39152 1.58393
284 2.68637 0.880056
285 5.22307 3.38264
286 2.72755 0.914686
287 2.06888 0.261395
288 5.03229 3.19739
289 4.57417 2.76265
290 3.91113 2.10171
291 4.50377 2.68237
292 4.39724 2.5672
293 3.8979 2.08354
294 2.52338 0.714298
295 4.8106 2.99733
296 4.08224 2.26066
297 3.38608 1.57735
298 3.20277 1.3881
299 4.19448 2.38287
300 5.73812 3.88358
301 5.56148 3.75526
302 4.89484 3.08212
303 5.14718 3.31199
304 4.04809 2.22834
305 3.23865 1.42478
306 6.3292 4.48782
307 2.2064 0.397534
308 4.71195 2.89495
309 3.05249 1.23778
310 5.72629 3.87715
311 5.69643 3.84706
312 4.02976 2.21659
313 3.74473 1.92554
314 3.83879 2.02202
315 2.6774 0.865958
316 3.67283 1.85921
317 2.27859 0.469645
318 3.88952 2.07914
319 6.28915 4.4378
320 2.95381 1.1419
321 5.18242 3.34498
322 6.29472 4.45289
323 2.52577 0.714442
324 2.71804 0.910625
325 3.65865 1.84215
326 3.06755 1.25208
327 6.2691 4.42421
328 2.9952 1.18203
329 2.62294 0.813077
330 5.13518 3.29463
331 7.13276 5.32639
332 5.0126 3.17441
333 4.16766 2.35662
334 3.03879 1.23305
335 4.76592 2.94106
336 2.98805 1.17924
337 3.14552 1.33216
338 3.91671 2.10613
339 3.57553 1.75535
340 3.43959 1.63123
341 5.65457 3.80841
342 4.26621 2.44006
343 4.59608 2.77911
344 2.90988 1.10313
345 3.9537 2.13454
346 2.7984 0.985007
347 2.41078 0.600592
348 6.6002 4.7255
349 3.94598 2.1243
350 2.96301 1.15565
351 4.4295 2.60843
352 5.61245 3.77274
353 7.02568 5.1567
354 2.24496 0.437919
355 4.30534 2.47665
356 3.96624 2.14677
357 5.61129 3.77429
358 5.02886 3.20319
359 5.12256 3.29888
360 3.0761 1.2705
361 4.97659 3.16769
362 4.98727 3.17684
363 5.45667 3.63451
364 2.2074 0.401933
365 3.70699 1.88713
366 3.83989 2.02636
367 5.72538 3.90519
368 2.29319 0.484528
369 2.33246 0.523853
370 3.2325 1.42164
371 5.7779 3.93335
372 3.20804 1.40107
373 2.9199 1.11167
374 2.18207 0.37478
375 2.12088 0.313244
376 3.32218 1.50427
377 3.81847 1.99593
378 6.24219 4.42313
379 2.79193 0.985585
380 7.57737 5.70065
381 2.48706 0.677753
382 4.88306 3.06087
383 3.17376 1.36746
384 2.28981 0.481045
385 3.22468 1.4104
386 4.06735 2.24617
387 4.37679 2.56842
388 3.67448 1.85313
389 2.41936 0.60894
390 2.62752 0.816736
391 3.64108 1.83303
392 2.55336 0.746228
393 5.40671 3.55604
394 3.15689 1.34066
395 4.90175 3.07775
396 3.70189 1.88411
397 7.61478 5.72496
398 3.18103 1.37431
399 3.37124 1.55721
400 6.12127 4.29299
401 3.41868 1.60367
402 2.34328 0.536579
403 5.87071 4.03531
404 4.9083 3.08746
405 3.378 1.56612
406 2.78796 0.978397
407 3.24819 1.44152
408 5.12947 3.28754
409 3.49035 1.67137
410 4.00061 2.17726
411 4.67092 2.85385
412 3.50705 1.69492
413 3.54461 1.73787
414 3.01985 1.21148
415 2.21437 0.405349
416 5.09444 3.27672
417 4.57884 2.76856
418 2.73536 0.924482
419 2.79772 0.989955
420 4.54727 2.73464
421 2.10367 0.298128
422 4.12498 2.29659
423 3.55668 1.74024
424 3.98015 2.16995
425 3.74777 1.93769
426 2.30997 0.503246
427 5.00802 3.19715
428 4.57128 2.73801
429 5.35681 3.51572
430 2.57114 0.76185
431 2.63138 0.821265
432 4.04832 2.23537
433 5.66131 3.82956
434 4.42712 2.60331
435 5.31509 3.47961
436 4.15994 2.34959
437 2.54668 0.740167
438 3.50375 1.68371
439 2.48666 0.680491
440 3.65973 1.84452
441 5.34644 3.53413
442 2.62503 0.815864
443 2.15512 0.347313
444 3.50096 1.68377
445 5.11039 3.29209
446 3.90591 2.0854
447 4.73672 2.92925
448 5.31362 3.50717
449 4.42862 2.60176
450 3.98899 2.16613
451 3.01052 1.19876
452 2.41589 0.608719
453 2.49756 0.691999
454 5.49216 3.6744
455 5.28567 3.45292
456 5.65532 3.82153
457 5.18831 3.34756
458 5.01928 3.18115
459 5.29324 3.47979
460 3.40921 1.59835
461 5.91391 4.08795
462 5.16674 3.35329
463 6.66535 4.78565
464 2.6431 0.837083
465 2.59579 0.786893
466 5.25182 3.41506
467 3.65707 1.8353
468 3.7844 1.96174
469 3.82444 2.01702
470 5.58541 3.73348
471 5.44999 3.63313
472 4.20257 2.37545
473 3.82199 2.00231
474 2.57233 0.765649
475 6.3668 4.53514
476 3.58592 1.77947
477 4.33887 2.52704
478 6.02169 4.17342
479 4.47086 2.65005
480 2.5615 0.756032
481 6.0742 4.26537
482 3.89382 2.06833
483 3.73811 1.92585
484 3.3746 1.56588
485 3.58356 1.7782
486 1.87622 0.0694672
487 4.188 2.37868
488 3.36604 1.55604
489 3.88811 2.06999
490 4.48401 2.66017
491 4.26348 2.44722
492 2.86772 1.06082
493 5.57974 3.73241
494 4.74786 2.93454
495 5.78861 3.93476
496 5.04412 3.21589
497 3.48982 1.68239
498 7.76775 5.88694
499 3.81276 2.00093
500 3.92287 2.11406
501 3.56416 1.74946
502 4.53663 2.70237
503 5.06319 3.23383
504 2.25778 0.448924
505 8.10258 6.22261
506 5.48614 3.64768
507 6.84635 5.0069
508 6.5252 4.6922
509 6.03835 4.1864
510 3.24388 1.42722
511 5.09912 3.27479
512 7.54445 5.64804
513 2.52808 0.71909
514 6.67844 4.84452
515 6.06907 4.25709
516 5.08627 3.27132
517 2.64263 0.834977
518 4.28658 2.47007
519 4.43312 2.60139
520 5.77914 3.92823
521 7.40969 5.52181
522 4.71207 2.88678
523 5.23967 3.40209
524 3.62691 1.82106
525 3.97757 2.15854
526 3.27416 1.46162
527 3.56737 1.74831
528 7.89401 6.05145
529 4.42664 2.59356
530 2.21204 0.406247
531 3.7237 1.91108
532 4.21421 2.39269
533 4.71127 2.89279
534 4.26897 2.4567
535 6.15916 4.29117
536 4.37317 2.5418
537 4.49563 2.67615
538 2.94945 1.1429
539 3.38048 1.56664
540 4.23877 2.42648
541 4.07115 2.25204
542 5.0916 3.25295
543 3.67364 1.85534
544 5.50639 3.69305
545 2.49116 0.680616
546 4.06037 2.24467
547 2.4733 0.663368
548 3.20355 1.39033
549 3.01136 1.198
550 2.2715 0.464547
551 2.89996 1.0944
552 5.13044 3.28361
553 6.59508 4.7568
554 3.41136 1.60245
555 4.0847 2.2616
556 3.88757 2.06187
557 4.23339 2.40417
558 2.56454 0.755833
559 2.51747 0.706339
560 4.8765 3.05706
561 4.45953 2.64059
562 3.44411 1.63567
563 2.17031 0.364053
564 3.55868 1.74231
565 3.39386 1.58283
