# event_id  Enu_MeV  Te+_MeV
265 3.99739 2.17364
266 4.16449 2.34176
267 3.01075 1.19734
268 2.35302 0.545257
269 3.30046 1.48659
270 3.99707 2.1879
271 7.05321 5.20676
272 5.80741 3.95395
273 2.83861 1.02735
274 3.57551 1.76977
275 4.79299 2.97368
276 3.14044 1.32434
277 6.08833 4.26043
278 2.8418 1.03515
279 4.93741 3.12697
280 5.34951 3.52887
281 4.32601 2.50785
282 4.33247 2.50954
283 3.19045 1.37919
284 2.99222 1.17934
285 2.67939 0.869119
286 2.24324 0.435707
287 3.8036 1.98245
288 2.46829 0.660457
289 5.49941 3.69259
290 4.35281 2.53373
291 2.48595 0.676497
292 2.77563 0.967977
293 5.09031 3.28075
294 3.11508 1.30441
295 5.59623 3.77138
296 2.62348 0.817578
297 5.94628 4.1091
298 3.15706 1.3402
299 2.62014 0.811206
300 4.55721 2.73993
301 4.95935 3.15393
302 5.93893 4.10623
303 4.26433 2.44515
304 7.14086 5.32029
305 3.54396 1.73473
306 4.80359 2.97218
307 3.46176 1.64485
308 3.33319 1.51409
309 4.97773 3.13923
310 4.0088 2.18833
311 3.3567 1.54187
312 5.0952 3.27299
313 7.07391 5.21228
314 2.4184 0.611108
315 6.44318 4.58251
316 6.88162 5.02216
317 6.50191 4.63937
318 3.81806 1.9937
319 3.23464 1.41849
320 7.65553 5.84073
321 3.89134 2.0703
322 4.34009 2.50757
323 4.32253 2.50868
324 6.0106 4.15444
325 1.84691 0.0405434
326 4.84047 3.03443
327 7.11379 5.28937
328 3.29575 1.48098
329 4.83144 3.02022
330 3.30705 1.49846
331 5.23718 3.3957
332 4.57333 2.74655
333 4.76417 2.92417
334 5.43854 3.60867
335 6.24211 4.43501
336 3.19033 1.37876
337 7.47726 5.64076
338 5.16389 3.34619
339 1.95475 0.148056
340 4.37526 2.55737
341 2.83065 1.02127
342 2.82323 1.01003
343 4.27104 2.44187
344 4.50641 2.69397
345 3.24344 1.43719
346 2.22284 0.416434
347 5.12109 3.30905
348 5.19918 3.35582
349 3.42086 1.6124
350 3.14896 1.33942
351 3.49168 1.679
352 5.40768 3.59712
353 3.36801 1.55288
354 3.87516 2.0643
355 4.36518 2.54889
356 4.21421 2.40835
357 5.59775 3.7535
358 4.17818 2.36807
359 4.8665 3.04523
360 6.72319 4.84678
361 4.67061 2.8647
362 4.8651 3.05784
363 4.7661 2.92994
364 3.32275 1.50403
365 1.97228 0.164906
366 4.33809 2.50876
367 4.65801 2.84233
368 5.90246 4.08012
369 4.84348 3.02538
370 3.93911 2.1172
371 2.21068 0.40253
372 5.55624 3.71213
373 6.46376 4.6508
374 4.51716 2.6856
375 3.7351 1.92294
376 3.06399 1.25152
377 4.52491 2.71532
378 2.39836 0.591935
379 3.84052 2.02985
380 2.03278 0.226402
381 4.29706 2.46739
382 4.07889 2.25269
383 5.9912 4.14392
384 2.33543 0.527401
385 2.46347 0.655951
386 3.0075 1.19433
387 2.1194 0.312177
388 7.64678 5.81027
389 4.76066 2.92898
390 2.89311 1.08575
391 2.81849 1.00942
392 3.05765 1.25146
393 3.34871 1.53138
394 3.96126 2.14904
395 3.05418 1.24336
396 6.06982 4.25511
397 5.40967 3.56774
398 2.85071 1.03787
399 4.1901 2.37285
400 1.92455 0.118345
401 2.02254 0.215017
402 2.93441 1.12578
403 2.93604 1.12129
404 2.4825 0.676909
405 5.75576 3.9106
406 6.36734 4.55017
407 3.97073 2.14941
408 3.69758 1.8859
409 5.41573 3.60325
410 5.26859 3.45677
411 5.11086 3.28566
412 2.17228 0.364374
413 4.7071 2.87782
414 6.45007 4.60645
415 4.18821 2.36346
416 2.42385 0.613974
417 3.09832 1.28202
418 2.34314 0.536505
419 1.88858 0.0818123
420 5.0625 3.23186
421 2.65699 0.844459
422 4.71472 2.90129
423 5.93521 4.11832
424 5.02091 3.20652
425 3.4284 1.60821
426 4.19053 2.36273
427 3.60134 1.78795
428 5.76389 3.90563
429 2.88531 1.07481
430 5.6526 3.81508
431 2.7764 0.96694
432 3.99841 2.17465
433 5.8915 4.06442
434 4.35606 2.54816
435 6.59499 4.74977
436 5.58039 3.73999
437 2.25655 0.448412
438 3.31891 1.51028
439 2.49287 0.682855
440 2.89836 1.09047
441 3.33232 1.52636
442 4.91907 3.08696
443 3.20883 1.40058
444 4.35329 2.53823
445 4.19917 2.37654
446 6.02011 4.16847
447 7.25515 5.3927
448 3.10189 1.28546
449 4.48041 2.6562
450 4.53487 2.71274
451 3.40643 1.5878
452 4.61054 2.78302
453 4.79558 2.97526
454 2.55175 0.745542
455 3.41881 1.60301
456 3.78923 1.97908
457 4.32715 2.4968
458 3.24285 1.436
459 5.02332 3.20988
460 2.7392 0.92805
461 4.74438 2.9061
462 4.29858 2.4734
463 3.65443 1.83315
464 4.27381 2.46344
465 2.80458 0.996843
466 3.04588 1.23619
467 5.28148 3.47029
468 3.57033 1.75759
469 5.91272 4.09286
470 3.49284 1.67637
471 3.81089 2.00415
472 4.65768 2.83644
473 4.25691 2.44299
474 3.26236 1.45164
475 4.97656 3.16708
476 5.41794 3.58264
477 2.8862 1.07256
478 6.23663 4.4127
479 3.34498 1.53511
480 4.12488 2.31913
481 4.48994 2.65781
482 4.59249 2.7778
483 2.0581 0.251644
484 2.95421 1.14249
485 3.79259 1.96935
486 3.03416 1.22854
487 5.49066 3.65542
488 2.87769 1.07036
489 2.17717 0.371304
490 5.18952 3.36314
491 2.82703 1.01877
492 5.06819 3.25112
493 4.97948 3.16596
494 2.89199 1.08151
495 5.34804 3.53178
496 2.39443 0.584097
497 4.24198 2.42948
498 5.24429 3.42708
499 4.49772 2.66855
500 4.31618 2.50769
501 5.80954 3.98969
502 4.18765 2.37291
503 2.25306 0.446327
504 7.06079 5.18843
505 3.29189 1.47695
506 6.17625 4.36976
507 6.31654 4.45147
508 4.88865 3.06197
509 5.04306 3.20782
510 5.98368 4.13221
511 4.22137 2.40994
512 4.7124 2.8742
513 4.16882 2.33869
514 3.77231 1.94895
515 4.57674 2.74296
516 4.55963 2.73629
517 2.75408 0.940901
518 6.138 4.29073
519 3.68779 1.86861
520 3.54123 1.72924
521 4.03359 2.20589
522 5.39384 3.54638
523 3.72282 1.90471
524 5.01255 3.17762
525 3.6861 1.87122
526 3.34757 1.5305
527 2.84184 1.03279
528 5.52633 3.67219
529 5.19075 3.34507
530 3.70522 1.88201
531 4.19296 2.37774
532 3.3566 1.53727
533 6.85013 5.0285
534 4.08537 2.26003
535 5.01087 3.20365
536 3.5439 1.7252
537 5.41295 3.56447
538 3.81909 2.00535
539 3.32362 1.50842
540 2.41559 0.609004
541 3.35559 1.53956
542 4.66536 2.83318
543 2.30637 0.500104
544 3.61619 1.80255
545 3.43455 1.6151
546 4.82616 2.99677
547 7.09768 5.25392
548 4.07764 2.26024
549 3.46824 1.65445
550 4.10347 2.28105
551 4.11294 2.28755
552 3.64852 1.83713
553 4.13972 2.31038
554 3.25526 1.44616
555 5.93849 4.07906
556 4.1688 2.35587
557 5.05775 3.24821
558 3.63187 1.82075
559 4.12832 2.3215
560 5.2322 3.40504
561 4.04907 2.22685
562 2.6208 0.815017
563 4.53855 2.72422
564 5.55578 3.73881
565 2.14767 0.340438
566 6.36945 4.51688
567 2.84898 1.0423
568 3.89701 2.08662
569 4.01316 2.19644
570 4.22052 2.40788
571 4.90874 3.0693
572 4.0931 2.28179
573 4.24465 2.43779
574 3.24034 1.43321
575 3.94515 2.13978
576 4.10574 2.28488
577 4.03024 2.22212
578 5.17836 3.34396
579 5.62118 3.79812
580 2.92713 1.12092
581 4.21767 2.38902
582 7.08209 5.26536
583 3.94194 2.12921
584 3.69744 1.89113
585 4.13735 2.3256
586 3.51449 1.69495
587 4.54708 2.73454
588 5.0776 3.23397
589 5.20611 3.40031
590 4.53255 2.6988
591 3.69427 1.87979
592 5.27625 3.45403
593 3.22147 1.41191
594 7.33891 5.44724
595 3.39415 1.58838
596 3.49875 1.68413
597 4.76746 2.95403
