# event_id Enu_MeV Ee_MeV Te_MeV cosThetaE thetaE_deg eDirX eDirY eDirZ Tn_keV cosThetaN thetaN_deg nDirX nDirY nDirZ
35 5.2690607 3.9503667 3.4393678 -0.10323221 95.925326 0.93273341 -0.34547287 0.10323221 25.346912 0.82432947 34.479431 -0.5308663 0.19662628 -0.82432947
36 5.9319508 4.6351096 4.1241107 0.91197101 24.220832 -0.21814631 0.34744936 -0.91197101 3.4941752 0.67533148 47.520103 0.39216138 -0.62460935 -0.67533148
37 3.9987139 2.6959588 2.1849599 0.25325484 75.329799 0.39114723 -0.88479705 -0.25325484 9.4080666 0.79256174 37.574441 -0.24655616 0.5577239 -0.79256174
38 3.4895767 2.1908193 1.6798203 0.44135996 63.809316 0.87196914 0.21182824 -0.44135996 5.4104938 0.80004754 36.865358 -0.58298077 -0.14162403 -0.80004754
39 7.9978546 6.6161504 6.1051515 -0.53553336 122.38009 0.70189451 -0.46962552 0.53553336 88.357127 0.90041944 25.786745 -0.36155717 0.24191167 -0.90041944
40 3.5622177 2.2661844 1.7551855 0.79570127 37.278457 -0.56165156 -0.22673116 -0.79570127 2.686311 0.80358245 36.526424 0.55191886 0.2228022 -0.80358245
41 3.3119083 2.0066222 1.4956233 -0.59045046 126.18898 0.79162217 0.15717058 0.59045046 11.939116 0.94346701 19.357806 -0.32512039 -0.064550189 -0.94346701
42 4.9959433 3.67432 3.1633211 -0.40092519 113.63603 0.30403533 -0.86418835 0.40092519 28.276255 0.88851479 27.312794 -0.1522807 0.43284183 -0.88851479
43 5.1477984 3.8130928 3.3020939 -0.9297165 158.39067 0.22844959 0.2888564 0.9297165 41.35853 0.98733625 9.1280541 -0.098408769 -0.12443009 -0.98733625
44 6.1908077 4.883169 4.3721701 0.5838863 54.275649 -0.81140544 -0.026419666 -0.5838863 14.291643 0.64810436 49.601169 0.76114816 0.02478327 -0.64810436
45 6.448274 5.1237516 4.6127527 0.14134003 81.874605 -0.02679493 -0.98959842 -0.14134003 31.175371 0.75028094 41.38528 0.01789428 0.66087692 -0.75028094
46 3.4716942 2.1765668 1.6655679 0.89731615 26.192501 0.081851501 -0.43373271 -0.89731615 1.780472 0.85991132 30.693372 -0.094657135 0.50159002 -0.85991132
47 2.2779165 0.98120289 0.47020398 -0.11079365 96.361068 -0.96929837 0.21951182 0.11079365 3.3666145 0.94351914 19.348794 0.32313542 -0.073178753 -0.94351914
48 4.9365542 3.6295671 3.1185681 0.33041642 70.705947 -0.7388591 0.58729227 -0.33041642 13.640099 0.74159172 42.132817 0.52516022 -0.41743079 -0.74159172
49 3.5075106 2.2043632 1.6933643 -0.096580867 95.542315 -0.68387372 0.7231797 0.096580867 9.8004588 0.86706846 29.880257 0.34229856 -0.36197234 -0.86706846
50 4.036702 2.7231847 2.2121858 -0.65791962 131.1414 -0.70370106 -0.26822862 0.65791962 20.170311 0.94458827 19.163049 0.30673059 0.11691601 -0.94458827
51 6.2178451 4.8832979 4.372299 -0.24160842 103.98149 -0.80700185 -0.53886304 0.24160842 41.200199 0.84319045 32.521427 0.4471022 0.2985456 -0.84319045
52 3.1235336 1.8199667 1.3089678 -0.57806714 125.31471 -0.8153135 0.033200515 0.57806714 10.219894 0.94536826 19.026435 0.32573441 -0.013264284 -0.94536826
53 6.7105057 5.3865176 4.8755187 0.22902233 76.760481 -0.071754001 0.97077296 -0.22902233 30.641012 0.72424778 43.593692 0.050828195 -0.68766391 -0.72424778
54 2.3349858 1.0372545 0.52625558 -0.46167375 117.49516 0.59365816 0.65911102 0.46167375 4.3843101 0.96017691 16.223964 -0.1869836 -0.2075992 -0.96017691
55 6.4256085 5.1080744 4.5970755 0.33443012 70.462113 0.94222596 0.019150462 -0.33443012 24.187095 0.70234092 45.384881 -0.71169375 -0.014464964 -0.70234092
56 3.5100034 2.2137129 1.702714 0.75586295 40.89917 0.6381015 -0.14662082 -0.75586295 2.9435062 0.80024609 36.846391 -0.5844417 0.13429105 -0.80024609
57 4.2883721 2.9690577 2.4580588 -0.85589208 148.85843 0.40354054 0.32342507 0.85589208 25.96743 0.97608668 12.555293 -0.16962499 -0.1359491 -0.97608668
58 4.9327827 3.636124 3.1251251 0.87477889 28.981182 0.040690673 0.48281069 -0.87477889 3.311703 0.71492882 44.362634 -0.058719287 -0.69672723 -0.71492882
59 3.3806622 2.0786213 1.5676224 -0.058547786 93.35646 0.99678828 -0.054637679 0.058547786 8.693929 0.86694213 29.894784 -0.49766175 0.027278694 -0.86694213
60 3.3466604 2.0400076 1.5290087 -0.73855293 137.60829 0.57007738 -0.35993244 0.73855293 13.305761 0.96368753 15.487757 -0.2257938 0.14256049 -0.96368753
61 4.9976304 3.6825087 3.1715098 -0.066875345 93.834537 0.98395858 0.16538801 0.066875345 21.774682 0.82145984 34.768803 -0.56237747 -0.094526835 -0.82145984
62 2.8880365 1.5908191 1.0798202 0.38447504 67.388846 0.27107837 -0.88243723 -0.38447504 3.8704066 0.85660365 31.062647 -0.15151587 0.49322726 -0.85660365
